BUSSINES NAME;CUIT;SUB ITEMS - U.P. U$S;SUB ITEMS - U.P. CURRENCY;SUB ITEMS - QUANTITY;SUB ITEMS - FOB U$S;SUB ITEMS - FOB CURRENCY;SHIPMENT CURRENCY;COUNTRY OF ORIGIN ;COUNTRY OF PROVENANCE;CUSTOMS;TRANSPORTATION;DATE;SHIPPING;ITEM;SUB ITEMS - SUBITEM;TARIFF POSITION;POSITION DESCRIPTION;QUANTITY SUBITEMS;SUB ITEMS - ITEM CODE;SUB ITEMS - SUFFIXES;DOCUMENT TYPE;SHIPMENT TYPE;DESTINATION TYPE;HARBOR;FOB VALUE U$S;VALUE FOB CURRENCY;AVERAGE U.P. U$S;AVERAGE U.P. CURRENCY;FREIGHT VALUE U$S;VALUE FREIGHT CURRENCY;INSURANCE VALUE U$S;CURRENCY INSURANCE VALUE;CIF VALUE U$S;EXCHANGE RATE;AMOUNT VALUE;MEASUREMENT;VALUE QUANTITY KILOS;TAXABLE INCOME;MOMENT DATE;FOB CURRENCY;NET KGS VALUE;BRANCH;DECLARATION STATUS;CONDITION;CONDITION OF SALE;ITEM TYPE;WRITES
OVNISA S.A.;30586628891;13.76;13.76;60;825.75;825.75;DOLAR ESTADOUNIDENSE;RUMANIA;SUIZA;EZEIZA;AVIÓN;31/12/2021;21073IC04153533T;2;11;5911.20.10.000E;DE MATERIA TEXTIL SINTÉTICA O ARTIFICIAL, EN PIEZA;;3A07 0530 136 04;SEFAR (AJ) PRESENTACION: ROLLO - (NA00) - (NB00) - (ZA) GRAMAJE EN G/M2.: 000036 - (ZB) ANCHURA EN CM.: 000136 - (ZC) LONGITUD EN CM.: 006000;IC04;IMPORTACION A CONSUMO CON DOCUMENTO DE TRANSPORTE;DEFINITIVOS;NO DETERMINADO;19129.84;19129.84;14.17;14.17;183.82;5654.28;183.82;183.82;19497.48;1;1350;METROS;0;0;31/12/2021;DOL;99;NO DETERMINADO;OFICIALIZADA;NUEVO SIN USO;NO DETERMINADO;NORMAL;(010) DERECHOS IMPORTACION - TIPO OBLIGACION: P - MONTO: 3400.54 - BASE: 0.00 - COEFIECIENTE: 0.00
OVNISA S.A.;30586628891;13.76;13.76;50;688.12;688.12;DOLAR ESTADOUNIDENSE;RUMANIA;SUIZA;EZEIZA;AVIÓN;31/12/2021;21073IC04153533T;2;12;5911.20.10.000E;DE MATERIA TEXTIL SINTÉTICA O ARTIFICIAL, EN PIEZA;;3A07 0560 136 13;SEFAR (AJ) PRESENTACION: ROLLO - (NA00) - (NB00) - (ZA) GRAMAJE EN G/M2.: 000034 - (ZB) ANCHURA EN CM.: 000136 - (ZC) LONGITUD EN CM.: 005000;IC04;IMPORTACION A CONSUMO CON DOCUMENTO DE TRANSPORTE;DEFINITIVOS;NO DETERMINADO;19129.84;19129.84;14.17;14.17;183.82;5654.28;183.82;183.82;19497.48;1;1350;METROS;0;0;31/12/2021;DOL;99;NO DETERMINADO;OFICIALIZADA;NUEVO SIN USO;NO DETERMINADO;NORMAL;(010) DERECHOS IMPORTACION - TIPO OBLIGACION: P - MONTO: 3400.54 - BASE: 0.00 - COEFIECIENTE: 0.00
OVNISA S.A.;30586628891;13.76;13.76;20;275.25;275.25;DOLAR ESTADOUNIDENSE;RUMANIA;SUIZA;EZEIZA;AVIÓN;31/12/2021;21073IC04153533T;2;13;5911.20.10.000E;DE MATERIA TEXTIL SINTÉTICA O ARTIFICIAL, EN PIEZA;;3A07 0600 136 02;SEFAR (AJ) PRESENTACION: ROLLO - (NA00) - (NB00) - (ZA) GRAMAJE EN G/M2.: 000032 - (ZB) ANCHURA EN CM.: 000136 - (ZC) LONGITUD EN CM.: 002000;IC04;IMPORTACION A CONSUMO CON DOCUMENTO DE TRANSPORTE;DEFINITIVOS;NO DETERMINADO;19129.84;19129.84;14.17;14.17;183.82;5654.28;183.82;183.82;19497.48;1;1350;METROS;0;0;31/12/2021;DOL;99;NO DETERMINADO;OFICIALIZADA;NUEVO SIN USO;NO DETERMINADO;NORMAL;(010) DERECHOS IMPORTACION - TIPO OBLIGACION: P - MONTO: 3400.54 - BASE: 0.00 - COEFIECIENTE: 0.00
OVNISA S.A.;30586628891;13.76;13.76;20;275.25;275.25;DOLAR ESTADOUNIDENSE;RUMANIA;SUIZA;EZEIZA;AVIÓN;31/12/2021;21073IC04153533T;2;14;5911.20.10.000E;DE MATERIA TEXTIL SINTÉTICA O ARTIFICIAL, EN PIEZA;;3A07 0630 136 12;SEFAR (AJ) PRESENTACION: ROLLO - (NA00) - (NB00) - (ZA) GRAMAJE EN G/M2.: 000031 - (ZB) ANCHURA EN CM.: 000136 - (ZC) LONGITUD EN CM.: 002000;IC04;IMPORTACION A CONSUMO CON DOCUMENTO DE TRANSPORTE;DEFINITIVOS;NO DETERMINADO;19129.84;19129.84;14.17;14.17;183.82;5654.28;183.82;183.82;19497.48;1;1350;METROS;0;0;31/12/2021;DOL;99;NO DETERMINADO;OFICIALIZADA;NUEVO SIN USO;NO DETERMINADO;NORMAL;(010) DERECHOS IMPORTACION - TIPO OBLIGACION: P - MONTO: 3400.54 - BASE: 0.00 - COEFIECIENTE: 0.00
OVNISA S.A.;30586628891;16.64;16.64;40;665.4;665.4;DOLAR ESTADOUNIDENSE;RUMANIA;SUIZA;EZEIZA;AVIÓN;31/12/2021;21073IC04153533T;2;15;5911.20.10.000E;DE MATERIA TEXTIL SINTÉTICA O ARTIFICIAL, EN PIEZA;;3A07 0670 158 03;SEFAR (AJ) PRESENTACION: ROLLO - (NA00) - (NB00) - (ZA) GRAMAJE EN G/M2.: 000030 - (ZB) ANCHURA EN CM.: 000158 - (ZC) LONGITUD EN CM.: 004000;IC04;IMPORTACION A CONSUMO CON DOCUMENTO DE TRANSPORTE;DEFINITIVOS;NO DETERMINADO;19129.84;19129.84;14.17;14.17;183.82;5654.28;183.82;183.82;19497.48;1;1350;METROS;0;0;31/12/2021;DOL;99;NO DETERMINADO;OFICIALIZADA;NUEVO SIN USO;NO DETERMINADO;NORMAL;(010) DERECHOS IMPORTACION - TIPO OBLIGACION: P - MONTO: 3400.54 - BASE: 0.00 - COEFIECIENTE: 0.00
OVNISA S.A.;30586628891;13.76;13.76;60;825.75;825.75;DOLAR ESTADOUNIDENSE;RUMANIA;SUIZA;EZEIZA;AVIÓN;31/12/2021;21073IC04153533T;2;16;5911.20.10.000E;DE MATERIA TEXTIL SINTÉTICA O ARTIFICIAL, EN PIEZA;;3A07 0710 136 02;SEFAR (AJ) PRESENTACION: ROLLO - (NA00) - (NB00) - (ZA) GRAMAJE EN G/M2.: 000028 - (ZB) ANCHURA EN CM.: 000136 - (ZC) LONGITUD EN CM.: 006000;IC04;IMPORTACION A CONSUMO CON DOCUMENTO DE TRANSPORTE;DEFINITIVOS;NO DETERMINADO;19129.84;19129.84;14.17;14.17;183.82;5654.28;183.82;183.82;19497.48;1;1350;METROS;0;0;31/12/2021;DOL;99;NO DETERMINADO;OFICIALIZADA;NUEVO SIN USO;NO DETERMINADO;NORMAL;(010) DERECHOS IMPORTACION - TIPO OBLIGACION: P - MONTO: 3400.54 - BASE: 0.00 - COEFIECIENTE: 0.00
OVNISA S.A.;30586628891;13.76;13.76;20;275.25;275.25;DOLAR ESTADOUNIDENSE;RUMANIA;SUIZA;EZEIZA;AVIÓN;31/12/2021;21073IC04153533T;2;17;5911.20.10.000E;DE MATERIA TEXTIL SINTÉTICA O ARTIFICIAL, EN PIEZA;;3A07 0750 136 02;SEFAR (AJ) PRESENTACION: ROLLO - (NA00) - (NB00) - (ZA) GRAMAJE EN G/M2.: 000027 - (ZB) ANCHURA EN CM.: 000136 - (ZC) LONGITUD EN CM.: 002000;IC04;IMPORTACION A CONSUMO CON DOCUMENTO DE TRANSPORTE;DEFINITIVOS;NO DETERMINADO;19129.84;19129.84;14.17;14.17;183.82;5654.28;183.82;183.82;19497.48;1;1350;METROS;0;0;31/12/2021;DOL;99;NO DETERMINADO;OFICIALIZADA;NUEVO SIN USO;NO DETERMINADO;NORMAL;(010) DERECHOS IMPORTACION - TIPO OBLIGACION: P - MONTO: 3400.54 - BASE: 0.00 - COEFIECIENTE: 0.00
OVNISA S.A.;30586628891;13.76;13.76;60;825.75;825.75;DOLAR ESTADOUNIDENSE;RUMANIA;SUIZA;EZEIZA;AVIÓN;31/12/2021;21073IC04153533T;2;18;5911.20.10.000E;DE MATERIA TEXTIL SINTÉTICA O ARTIFICIAL, EN PIEZA;;3A07 0800 136 04;SEFAR (AJ) PRESENTACION: ROLLO - (NA00) - (NB00) - (ZA) GRAMAJE EN G/M2.: 000026 - (ZB) ANCHURA EN CM.: 000136 - (ZC) LONGITUD EN CM.: 006000;IC04;IMPORTACION A CONSUMO CON DOCUMENTO DE TRANSPORTE;DEFINITIVOS;NO DETERMINADO;19129.84;19129.84;14.17;14.17;183.82;5654.28;183.82;183.82;19497.48;1;1350;METROS;0;0;31/12/2021;DOL;99;NO DETERMINADO;OFICIALIZADA;NUEVO SIN USO;NO DETERMINADO;NORMAL;(010) DERECHOS IMPORTACION - TIPO OBLIGACION: P - MONTO: 3400.54 - BASE: 0.00 - COEFIECIENTE: 0.00
OVNISA S.A.;30586628891;13.76;13.76;40;550.5;550.5;DOLAR ESTADOUNIDENSE;RUMANIA;SUIZA;EZEIZA;AVIÓN;31/12/2021;21073IC04153533T;2;19;5911.20.10.000E;DE MATERIA TEXTIL SINTÉTICA O ARTIFICIAL, EN PIEZA;;3A07 0850 136 02;SEFAR (AJ) PRESENTACION: ROLLO - (NA00) - (NB00) - (ZA) GRAMAJE EN G/M2.: 000024 - (ZB) ANCHURA EN CM.: 000136 - (ZC) LONGITUD EN CM.: 004000;IC04;IMPORTACION A CONSUMO CON DOCUMENTO DE TRANSPORTE;DEFINITIVOS;NO DETERMINADO;19129.84;19129.84;14.17;14.17;183.82;5654.28;183.82;183.82;19497.48;1;1350;METROS;0;0;31/12/2021;DOL;99;NO DETERMINADO;OFICIALIZADA;NUEVO SIN USO;NO DETERMINADO;NORMAL;(010) DERECHOS IMPORTACION - TIPO OBLIGACION: P - MONTO: 3400.54 - BASE: 0.00 - COEFIECIENTE: 0.00
OVNISA S.A.;30586628891;13.76;13.76;40;550.5;550.5;DOLAR ESTADOUNIDENSE;RUMANIA;SUIZA;EZEIZA;AVIÓN;31/12/2021;21073IC04153533T;2;20;5911.20.10.000E;DE MATERIA TEXTIL SINTÉTICA O ARTIFICIAL, EN PIEZA;;3A07 0950 136 03;SEFAR (AJ) PRESENTACION: ROLLO - (NA00) - (NB00) - (ZA) GRAMAJE EN G/M2.: 000022 - (ZB) ANCHURA EN CM.: 000136 - (ZC) LONGITUD EN CM.: 004000;IC04;IMPORTACION A CONSUMO CON DOCUMENTO DE TRANSPORTE;DEFINITIVOS;NO DETERMINADO;19129.84;19129.84;14.17;14.17;183.82;5654.28;183.82;183.82;19497.48;1;1350;METROS;0;0;31/12/2021;DOL;99;NO DETERMINADO;OFICIALIZADA;NUEVO SIN USO;NO DETERMINADO;NORMAL;(010) DERECHOS IMPORTACION - TIPO OBLIGACION: P - MONTO: 3400.54 - BASE: 0.00 - COEFIECIENTE: 0.00
OVNISA S.A.;30586628891;13.76;13.76;40;550.5;550.5;DOLAR ESTADOUNIDENSE;RUMANIA;SUIZA;EZEIZA;AVIÓN;31/12/2021;21073IC04153533T;2;21;5911.20.10.000E;DE MATERIA TEXTIL SINTÉTICA O ARTIFICIAL, EN PIEZA;;3A07 1000 136 04;SEFAR (AJ) PRESENTACION: ROLLO - (NA00) - (NB00) - (ZA) GRAMAJE EN G/M2.: 000020 - (ZB) ANCHURA EN CM.: 000136 - (ZC) LONGITUD EN CM.: 004000;IC04;IMPORTACION A CONSUMO CON DOCUMENTO DE TRANSPORTE;DEFINITIVOS;NO DETERMINADO;19129.84;19129.84;14.17;14.17;183.82;5654.28;183.82;183.82;19497.48;1;1350;METROS;0;0;31/12/2021;DOL;99;NO DETERMINADO;OFICIALIZADA;NUEVO SIN USO;NO DETERMINADO;NORMAL;(010) DERECHOS IMPORTACION - TIPO OBLIGACION: P - MONTO: 3400.54 - BASE: 0.00 - COEFIECIENTE: 0.00
OVNISA S.A.;30586628891;17.43;17.43;20;348.6;348.6;DOLAR ESTADOUNIDENSE;RUMANIA;SUIZA;EZEIZA;AVIÓN;31/12/2021;21073IC04153533T;2;22;5911.20.10.000E;DE MATERIA TEXTIL SINTÉTICA O ARTIFICIAL, EN PIEZA;;3A07 1120 158 00;SEFAR (AJ) PRESENTACION: ROLLO - (NA00) - (NB00) - (ZA) GRAMAJE EN G/M2.: 000019 - (ZB) ANCHURA EN CM.: 000158 - (ZC) LONGITUD EN CM.: 002000;IC04;IMPORTACION A CONSUMO CON DOCUMENTO DE TRANSPORTE;DEFINITIVOS;NO DETERMINADO;19129.84;19129.84;14.17;14.17;183.82;5654.28;183.82;183.82;19497.48;1;1350;METROS;0;0;31/12/2021;DOL;99;NO DETERMINADO;OFICIALIZADA;NUEVO SIN USO;NO DETERMINADO;NORMAL;(010) DERECHOS IMPORTACION - TIPO OBLIGACION: P - MONTO: 3400.54 - BASE: 0.00 - COEFIECIENTE: 0.00
OVNISA S.A.;30586628891;17.43;17.43;60;1045.8;1045.8;DOLAR ESTADOUNIDENSE;RUMANIA;SUIZA;EZEIZA;AVIÓN;31/12/2021;21073IC04153533T;2;23;5911.20.10.000E;DE MATERIA TEXTIL SINTÉTICA O ARTIFICIAL, EN PIEZA;;3A07 1180 158 03;SEFAR (AJ) PRESENTACION: ROLLO - (NA00) - (NB00) - (ZA) GRAMAJE EN G/M2.: 000018 - (ZB) ANCHURA EN CM.: 000158 - (ZC) LONGITUD EN CM.: 000060;IC04;IMPORTACION A CONSUMO CON DOCUMENTO DE TRANSPORTE;DEFINITIVOS;NO DETERMINADO;19129.84;19129.84;14.17;14.17;183.82;5654.28;183.82;183.82;19497.48;1;1350;METROS;0;0;31/12/2021;DOL;99;NO DETERMINADO;OFICIALIZADA;NUEVO SIN USO;NO DETERMINADO;NORMAL;(010) DERECHOS IMPORTACION - TIPO OBLIGACION: P - MONTO: 3400.54 - BASE: 0.00 - COEFIECIENTE: 0.00
OVNISA S.A.;30586628891;15.04;15.04;40;601.5;601.5;DOLAR ESTADOUNIDENSE;RUMANIA;SUIZA;EZEIZA;AVIÓN;31/12/2021;21073IC04153533T;2;24;5911.20.10.000E;DE MATERIA TEXTIL SINTÉTICA O ARTIFICIAL, EN PIEZA;;3A07 1320 136 02;SEFAR (AJ) PRESENTACION: ROLLO - (NA00) - (NB00) - (ZA) GRAMAJE EN G/M2.: 000016 - (ZB) ANCHURA EN CM.: 000136 - (ZC) LONGITUD EN CM.: 004000;IC04;IMPORTACION A CONSUMO CON DOCUMENTO DE TRANSPORTE;DEFINITIVOS;NO DETERMINADO;19129.84;19129.84;14.17;14.17;183.82;5654.28;183.82;183.82;19497.48;1;1350;METROS;0;0;31/12/2021;DOL;99;NO DETERMINADO;OFICIALIZADA;NUEVO SIN USO;NO DETERMINADO;NORMAL;(010) DERECHOS IMPORTACION - TIPO OBLIGACION: P - MONTO: 3400.54 - BASE: 0.00 - COEFIECIENTE: 0.00
OVNISA S.A.;30586628891;13.16;13.16;10;131.55;131.55;DOLAR ESTADOUNIDENSE;RUMANIA;SUIZA;EZEIZA;AVIÓN;31/12/2021;21073IC04153533T;2;25;5911.20.10.000E;DE MATERIA TEXTIL SINTÉTICA O ARTIFICIAL, EN PIEZA;;3A07 1400 108 03;SEFAR (AJ) PRESENTACION: ROLLO - (NA00) - (NB00) - (ZA) GRAMAJE EN G/M2.: 000015 - (ZB) ANCHURA EN CM.: 000108 - (ZC) LONGITUD EN CM.: 001000;IC04;IMPORTACION A CONSUMO CON DOCUMENTO DE TRANSPORTE;DEFINITIVOS;NO DETERMINADO;19129.84;19129.84;14.17;14.17;183.82;5654.28;183.82;183.82;19497.48;1;1350;METROS;0;0;31/12/2021;DOL;99;NO DETERMINADO;OFICIALIZADA;NUEVO SIN USO;NO DETERMINADO;NORMAL;(010) DERECHOS IMPORTACION - TIPO OBLIGACION: P - MONTO: 3400.54 - BASE: 0.00 - COEFIECIENTE: 0.00
